	B1	B2	B3	B4	B9	B26	B11	B12	B17	B18	B19	B20	B7	B8	B15	B16	B23	B24
Bcin01g00010	7.28810906305597	10.4480220037648	7.3255336808754	9.32591300582214	5.39240904206085	5.92254970513243	8.84801956916824	9.25973818881489	9.66176412603058	9.5220504515087	9.2411925098004	9.59349896999824	8.88294172878307	9.64144077171355	7.43834547071674	9.15555825764532	7.76788896039029	6.82350630130579
Bcin01g00020	5.81920256421787	8.72009678632799	6.29398842560178	7.63203578290869	3.11902412354239	5.16183239956032	7.59019824867069	7.487341036349	8.48861571011256	8.23211114573887	8.11266164386428	8.04769942335409	7.80154610530689	8.07881415409008	6.46116826635507	7.50889228586818	6.70831408715238	5.44494719862995
Bcin01g00030	7.78789193120682	11.3793052950052	7.6048423234269	10.25148729505	5.34771291753834	7.42356964941397	9.72373586284371	10.04156501733	10.6020816028915	10.5553355876226	10.3859823828282	10.4656870491496	10.1012335714283	10.6340227285364	8.3112581434456	10.0466348245209	8.84223203190153	7.80523684871304
Bcin01g00040	6.42695888410247	10.0802678503829	6.90902718904312	9.04498417258741	4.24326288147407	6.10727313675908	8.74810790654444	8.78527602967572	9.52132360190399	9.39249195074978	9.22317248397722	9.17082189121088	9.15600022179332	9.20799151453923	7.533075875309	8.77489452890254	8.02057754093394	6.69197831021923
Bcin01g00050	6.36359050245302	8.538141869767	6.61223455851656	7.79018066381892	5.47785001422018	6.1415402125093	7.41995451144974	7.84746365383295	8.08191087453769	8.12556497316916	7.984041908215	8.28331520661926	7.85998227238181	7.77726349412563	7.07255347540122	7.47432004665401	7.1878521725458	6.39695509826032
Bcin01g00060	7.58058840952572	10.6597636055178	6.79752548295484	9.40858791935244	6.37513215444031	6.30163600515708	8.93356880884215	9.48575635204437	9.9007012642416	10.1299773233492	9.61738100348666	9.74081214403374	8.86164873899851	9.89726663847561	8.09229177950822	9.3838118464471	8.23788201061232	7.107830600633
Bcin01g00070	9.72428821777545	10.5784527021464	9.81505141574143	10.0004786030082	9.51696330848283	9.14903706879916	10.2647716572947	9.99749751283032	10.2708274866459	10.3207377098251	10.0515427771377	10.1467738593133	10.3337846137321	10.3400944133122	9.95009245242509	10.1042968285128	9.49400724516818	9.52283749470182
Bcin01g00080	9.55023493192233	11.3340821680668	8.66606306870294	10.5286541206584	9.51696330848283	9.54435572663146	10.4627622318107	10.3387849914993	10.1260772051516	10.3399270044683	9.79169442121889	10.3075076535996	9.96365951275253	10.5274969226499	9.59026638358511	10.4642704576369	8.0068776005654	9.11288027151307
Bcin01g00090	7.49446684631238	10.7849805552464	6.96170455661624	9.64129885513987	6.15933319106495	6.93034302514571	8.84801956916824	9.4095954500971	9.94228993373407	10.1341054675944	9.48753091775786	9.8707623149813	9.06370703251312	10.0366995475393	7.76545436805851	9.42663440714055	8.19985393934181	7.22547923941578
Bcin01g00100	2.7106527092049	8.11184275292195	3.84874891139872	7.06047887517154	1.18987727205446	4.26512576393866	6.0593282000847	7.01455997795215	7.6763696859999	7.75576437796054	7.37730550386097	7.46546047431535	6.65687576880844	7.55954268985452	4.81113624438828	7.01063498572835	5.86862166819854	4.96458775765915
Bcin01g00110	3.59602331984742	8.39350196337289	3.3130047009907	7.56151850739255	2.27619888332665	4.26512576393866	6.62731280657352	7.34410900349161	8.04420903078786	7.95559457344246	7.58508194729528	7.60579206996148	6.71079392450333	7.84035974900732	5.45826528532607	7.19885894721408	5.84417634901238	4.93580268798621
Bcin01g00120	6.57417746467984	8.71457176074507	6.08825906946846	7.71791327471054	4.42635424336929	4.13510594849293	7.00396038210574	7.51668226684865	8.19805182980316	7.9049539077634	7.86291360818357	8.09926868853097	7.61619589969992	8.0363298853422	6.46116826635507	7.70552359804093	6.59567679364249	5.40350023172376
Bcin01g00130	8.2834863098172	10.2291269434102	8.29389394528998	9.01513988489517	8.01428835762529	6.82885079557534	9.41362223770047	9.23876222089207	9.31715198518045	9.12574655202227	9.19966815065617	9.43695090140831	8.91774622030871	9.40451323693631	8.60745683230304	9.29910085987169	8.56961119976042	7.81712330116472
Bcin01g00140	8.37470010081466	7.88470752526703	7.74167194380279	7.45439659487827	8.25718669155253	6.87030833423897	8.60643596016133	7.487341036349	7.92998253384268	7.53210245316209	7.38658738481438	7.56051477351323	7.95240512163902	7.46660977063416	7.69754072714024	7.59186323287992	7.75483390885127	7.18324297766872
Bcin01g00150	3.35665501307113	2.07854411747652	1.99256767655097	1.2337873864332	3.647544790923	0	4.09478927445508	1.68349003822015	3.14775844408149	1.0498433943788	2.40394720258521	1.76865288814553	2.98488207318779	2.63936385492348	2.35610945974989	1.6582850712459	2.30064917566037	1.51119205918538
Bcin01g00160	13.9666061006618	12.2527342525314	13.4212537099782	11.3120045112334	13.5497506844448	8.85587957246869	14.3283717587807	11.0644179260216	12.3002551743317	10.9882364580701	12.5841020708918	11.4749710282063	12.798539800607	11.6389026912236	13.1237711089001	11.8630718795365	11.8227643371326	9.77013687536604
Bcin01g00170	11.8418476470276	14.1365747335623	13.2257978288338	14.0567131715367	13.3620033597141	13.7160123348063	12.6783644015233	13.8751652964505	12.5782825355531	13.6867290549491	12.6361017792346	13.9395248866363	11.8702307788555	13.695913256603	12.4592030269281	13.7048523101942	13.2253548064152	13.7433077260964
Bcin01g00180	10.1615870213568	9.24955847733629	10.5969559214941	9.2317375067091	10.779479729753	9.76097196048567	10.0823634001404	8.23056233870816	8.81114397116574	8.75242296878117	8.36359006449423	9.00497021654701	7.94342476534754	8.43280792402038	8.24563238714513	8.45260606543837	7.14346371233181	7.99508369755305
Bcin01g00190	9.38853127734697	8.86179502884329	9.53119167660748	8.69108026128959	10.0834899877078	9.30078601921531	9.55916059804609	8.87410599393022	9.86465352807093	8.74883804638135	9.53003295568841	9.06780222194103	9.21502597124102	8.72799614134183	9.51798661391765	8.89084675792367	10.0136672101593	8.84521640945893
Bcin01g00200	7.12571759093681	7.2063623532664	7.22855235051297	6.90642834654418	7.10959738996651	6.74218090518498	6.6848395933483	6.9728259953347	6.49363847955391	6.8386031598145	7.12342688532085	6.75658785199933	6.8129372519244	6.9456140657567	7.04066223624551	6.71735469735641	7.34420185673669	6.5376985506275
