f1	f2	f3	f4	f5	f6	f7	f8	f9	f10	f11	f12	f13	f14	f15	f16	f17	f18
ath-miR166f	19854	11149	26240	302521	315197	992919	644821	633999	1293685	442611	506350	581970	829150	343015	630905	891874	697765	841762
ath-miR166g	19858	11157	26229	302570	314851	992942	643583	633319	1291220	442298	506005	581612	828812	342754	630853	891431	697580	841584
ath-miR167a-3p	23	7	19	439	488	83	193	1117	2136	2127	1927	1598	1514	538	23	1503	1895	3080
ath-miR167a-5p	9	2	10	89	76	54	102	394	511	293	124	365	599	195	23	445	738	718
ath-miR167b	9	2	10	89	77	56	102	395	511	293	124	364	601	195	23	450	740	720
ath-miR167c-3p	68	21	83	427	365	455	199	630	1427	711	296	668	821	366	61	1378	1937	1538
ath-miR167c-5p	48	14	53	297	293	495	400	941	2249	487	225	875	1114	607	124	1285	1410	1348
ath-miR167d	11	2	12	112	94	78	243	658	538	332	131	539	936	253	52	594	856	911
ath-miR168a-3p	587	121	343	979	4703	2965	3349	4230	2917	7792	7524	5722	4282	871	2255	6242	3590	4253
ath-miR168a-5p	1385	708	1557	5643	6488	7311	6483	9339	10603	11250	10220	9708	9453	2838	2839	11999	9310	9703
ath-miR168b-3p	18	2	5	231	214	770	324	584	894	398	149	578	690	267	234	819	567	733
ath-miR168b-5p	1367	695	1514	5377	6073	6973	6255	9213	10213	10982	9952	9578	9299	2769	2787	11733	9124	9553
ath-miR169a-3p	12	5	22	49	250	88	92	120	595	96	48	111	39	65	15	103	97	76
ath-miR169a-5p	6	0	6	32	23	24	16	96	161	20	10	67	34	25	10	48	86	75
ath-miR169b-3p	18	2	19	189	174	508	147	339	637	178	164	273	235	105	119	364	232	244
ath-miR169b-5p	10	0	13	60	50	51	27	133	255	53	40	145	74	46	16	121	196	147
ath-miR169c	11	0	10	45	38	39	18	83	167	47	29	114	57	28	10	99	147	115
ath-miR169d	0	0	2	2	3	5	5	8	27	1	0	10	11	3	0	9	6	11
ath-miR169e	0	0	2	2	3	5	5	8	27	1	0	10	11	3	0	9	6	11
ath-miR169f-3p	73	23	76	133	310	158	65	416	272	289	130	279	265	39	42	230	561	170
ath-miR169f-5p	0	0	3	3	6	5	7	13	41	6	2	17	13	4	0	13	17	15
ath-miR169g-3p	0	0	0	2	1	0	2	0	5	1	0	2	1	1	0	2	2	5
ath-miR169g-5p	0	0	3	2	4	4	7	12	36	5	2	17	12	4	0	13	16	16
ath-miR169h	23	4	24	62	52	67	37	243	419	15	25	144	108	55	13	135	157	154
ath-miR169i	22	4	24	62	51	67	37	240	418	15	24	144	107	55	13	135	156	154
ath-miR169j	20	3	20	52	44	60	28	212	362	17	21	121	88	50	12	122	129	136
ath-miR169k	23	4	24	63	52	67	37	243	419	15	25	144	108	55	13	135	157	154
ath-miR169l	20	3	20	51	42	57	26	205	334	14	21	117	80	50	12	119	126	129
ath-miR169m	22	4	24	62	52	68	37	239	419	15	24	144	107	55	16	136	157	154
ath-miR169n	20	3	20	52	44	60	28	212	362	17	21	121	88	50	12	122	129	136
ath-miR170-3p	0	0	0	0	1	1	0	3	4	3	1	2	5	3	0	3	4	7
ath-miR170-5p	1	1	3	11	3	12	5	10	8	2	4	7	10	5	1	10	4	5
ath-miR171a-3p	2	0	1	1	0	2	0	4	3	3	1	2	2	0	0	0	1	3
ath-miR171a-5p	1	1	3	11	3	12	5	10	8	2	4	7	10	5	1	10	4	5
ath-miR171b-3p	15	2	10	88	66	121	279	352	727	85	51	258	259	161	33	438	426	449
ath-miR171b-5p	4	0	1	17	12	64	19	48	83	13	4	51	18	17	4	46	27	34
ath-miR171c-3p	15	2	10	88	66	121	279	352	727	85	51	258	260	161	33	438	426	449
ath-miR171c-5p	5	2	4	50	61	69	93	122	223	113	72	118	96	45	17	135	106	106
ath-miR172a	1	1	1	1	1	1	3	23	83	6	1	61	95	41	4	63	112	153
ath-miR172b-3p	1	1	1	1	1	1	3	23	82	6	1	61	95	41	4	63	112	153
ath-miR172b-5p	5	1	4	7	33	7	25	59	138	50	11	81	86	31	5	91	85	119
ath-miR172c	1	1	1	1	1	3	5	32	109	11	1	77	123	83	6	112	196	245
ath-miR172d-3p	1	1	1	1	1	3	5	32	108	11	1	77	123	83	6	112	195	245
ath-miR172d-5p	1	0	0	0	0	2	1	8	19	2	1	15	30	20	2	32	27	51
ath-miR172e-3p	0	0	3	2	3	3	7	36	52	4	1	58	37	31	4	27	69	61
ath-miR172e-5p	5	1	4	7	26	7	25	60	137	47	11	83	82	30	5	84	83	121
ath-miR173-3p	3	0	2	13	2	51	13	34	129	6	2	21	24	33	4	35	32	21
ath-miR173-5p	20	3	18	77	52	94	108	224	529	63	23	243	218	101	12	291	345	284
ath-miR1886.1	0	0	1	2	2	10	4	8	17	0	1	7	13	1	4	9	9	8
ath-miR1886.2	8	0	7	19	4	86	20	114	318	5	7	100	112	70	27	89	89	160
ath-miR1886.3	0	0	0	0	0	0	0	0	1	0	0	0	3	0	0	0	1	2
ath-miR1888a	0	0	0	0	0	3	0	0	2	0	0	0	0	0	0	0	1	0
ath-miR1888b	1	1	1	3	1	6	1	7	10	4	1	7	7	0	2	8	5	13
ath-miR2111a-3p	3	0	4	0	3	3	3	0	1	2	3	2	0	0	0	1	1	3
ath-miR2111a-5p	8	0	3	18	24	1	6	10	20	8	1	17	32	22	1	19	30	40
ath-miR2111b-3p	5	4	2	3	1	0	1	4	4	4	1	10	12	2	1	14	4	19
ath-miR2111b-5p	8	0	3	18	24	1	6	10	20	8	1	17	32	22	1	19	30	40
ath-miR2112-3p	0	0	0	0	1	0	0	0	6	0	0	0	2	3	0	3	3	4
ath-miR2112-5p	0	0	1	2	1	1	1	2	6	0	0	4	1	0	1	1	3	2
ath-miR2933a	2	1	0	10	1	11	5	12	10	2	0	10	14	1	3	16	12	14
ath-miR2933b	2	1	0	10	1	11	5	12	10	2	0	10	14	1	3	16	12	14
ath-miR2934-5p	0	0	1	0	0	6	0	0	10	0	0	2	1	0	0	0	0	3
ath-miR2936	1	0	0	2	6	5	3	5	12	7	3	2	6	0	3	12	16	4
ath-miR319a	788	183	687	6780	2268	17138	2957	7400	18821	1636	2377	5778	6540	4981	2624	8356	7994	9832
ath-miR319b	1030	282	992	11424	3882	27166	5489	9844	25025	2469	3324	6769	7227	7013	3913	11349	8913	10828
ath-miR319c	60	16	41	649	344	810	211	1033	1404	256	204	1015	526	440	96	534	728	941
ath-miR3434-3p	1	0	0	0	0	0	1	3	6	0	0	1	2	0	0	0	1	2
ath-miR3434-5p	7	1	1	6	5	16	1	44	13	12	4	44	39	9	6	35	23	43
ath-miR3440b-3p	0	0	0	2	1	1	4	3	0	2	0	3	8	0	0	1	1	3
ath-miR3440b-5p	0	0	0	2	1	2	1	12	16	0	2	5	9	5	3	4	5	8
ath-miR390a-3p	2	2	4	38	110	38	209	193	244	111	62	171	79	54	22	210	117	176
ath-miR390a-5p	201	82	213	1110	2458	2024	2726	3470	4724	3001	2230	2906	2462	1016	497	3347	2431	2703
ath-miR390b-3p	0	0	3	5	25	7	16	14	55	29	21	20	9	8	2	13	16	11
ath-miR390b-5p	201	82	213	1110	2458	2024	2727	3471	4725	3002	2230	2906	2462	1016	497	3347	2431	2703
ath-miR391-3p	0	0	0	0	0	0	0	1	0	0	0	0	3	0	0	1	4	3
ath-miR391-5p	0	0	0	0	0	1	0	3	0	0	0	4	2	3	1	6	1	9
ath-miR3933	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
ath-miR393a-3p	6	0	6	57	11	51	35	199	296	30	13	173	348	141	60	286	426	744
ath-miR393a-5p	13	0	5	94	70	165	246	215	437	99	39	241	440	240	114	583	448	591
ath-miR393b-3p	9	2	7	75	32	122	58	125	178	28	7	83	69	56	36	86	108	128
