f1	f2	f3	f4	f5	f6	f7	f8	f9	f10	f11	f12	f13	f14	f15	f16	f17	f18
ath-miR8167c	2	0	0	7	11	14	25	12	15	9	3	48	10	9	2	23	76	6
ath-miR8167d	2	0	0	7	11	14	25	12	15	9	3	48	10	9	2	23	76	6
ath-miR8167e	2	0	0	7	11	14	25	12	15	9	3	48	10	9	2	23	76	6
ath-miR8167f	2	0	0	7	11	14	25	12	15	9	3	48	10	9	2	23	76	6
ath-miR8168	0	0	0	0	0	0	1	1	0	1	1	3	0	0	0	2	2	0
ath-miR8169	0	0	1	7	1	11	2	6	18	3	0	9	16	3	1	19	17	20
ath-miR8170-3p	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
ath-miR8170-5p	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	4
ath-miR8171	1	0	1	0	0	0	2	0	0	0	2	0	1	0	0	1	1	2
ath-miR8172	1	0	2	16	11	27	18	32	45	9	1	28	36	9	4	45	64	57
ath-miR8173	0	0	1	0	2	3	1	3	1	1	2	4	6	2	0	7	11	4
ath-miR8174	0	0	0	2	4	3	3	8	6	0	0	7	7	4	0	13	20	10
ath-miR8175	44	48	90	1205	823	151	1214	1157	429	841	876	240	372	258	26	247	422	415
ath-miR8176	1	0	0	0	0	2	3	1	5	2	3	0	2	0	4	2	0	1
ath-miR8177	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1
ath-miR8178	0	0	0	1	0	0	0	0	1	0	0	2	1	0	0	0	1	0
ath-miR8179	0	0	0	0	0	0	0	2	2	1	0	1	2	0	0	0	4	3
ath-miR8180	1	0	0	3	0	2	1	3	5	2	0	8	2	1	1	8	7	7
ath-miR8181	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ath-miR8182	1	0	1	11	3	48	3	24	55	4	1	30	12	2	6	14	10	21
ath-miR8183	0	0	0	0	0	0	0	0	0	0	0	1	3	0	0	0	0	1
ath-miR8184	1	0	0	2	1	9	4	5	21	1	1	5	20	2	0	7	12	19
ath-miR822-3p	46	17	33	265	138	92	62	361	1233	179	126	373	296	235	9	428	525	463
ath-miR822-5p	90	18	77	455	369	1289	356	910	3525	500	207	1253	915	854	115	1550	1399	1381
ath-miR823	2	1	3	66	8	152	26	58	68	17	5	56	33	20	21	55	52	44
ath-miR824-3p	76	26	72	807	1498	1961	1938	2389	4827	2680	2881	3323	2382	1030	867	3960	3367	3728
ath-miR824-5p	21	4	16	218	73	112	93	550	918	160	52	731	667	470	61	530	993	1171
ath-miR825	0	0	0	0	0	1	0	0	0	0	0	0	1	1	0	0	0	1
ath-miR827	32	20	51	770	298	71	132	359	437	307	142	1314	1816	807	46	1640	1277	4957
ath-miR829-3p.1	72	15	43	145	123	221	491	673	1172	156	60	639	756	238	63	814	617	882
ath-miR829-3p.2	4	2	3	30	3	28	13	46	67	15	4	30	56	24	1	36	61	67
ath-miR829-5p	24	5	20	97	35	183	79	348	654	50	12	302	495	132	51	296	370	647
ath-miR830-3p	0	0	0	2	0	0	1	6	12	0	0	4	3	3	0	2	2	3
ath-miR830-5p	0	0	0	1	0	0	0	4	32	1	0	11	8	4	2	6	7	19
ath-miR831-3p	0	0	0	1	1	0	0	1	2	1	2	0	1	0	0	1	0	1
ath-miR831-5p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
ath-miR833a-3p	0	0	0	0	1	0	0	1	0	1	0	1	4	2	0	1	4	3
ath-miR833a-5p	0	0	1	20	4	14	5	26	30	7	1	29	62	11	6	24	53	56
ath-miR833b	0	0	0	5	2	7	2	9	4	0	0	5	11	4	1	4	9	12
ath-miR835-3p	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
ath-miR835-5p	0	0	0	0	1	0	0	0	3	0	0	1	1	0	0	0	4	2
ath-miR837-3p	2	0	0	4	2	4	5	14	28	1	2	19	17	5	3	16	22	23
ath-miR837-5p	4	0	2	19	2	15	6	83	86	9	4	26	88	22	2	38	111	104
ath-miR838	1	0	1	2	3	2	3	12	14	1	1	9	11	1	0	9	5	11
ath-miR839-5p	2	1	1	17	27	40	41	12	41	12	10	10	12	13	3	25	14	18
ath-miR840-3p	3	2	5	39	52	25	12	106	115	55	18	77	75	35	8	85	108	129
ath-miR840-5p	9	0	2	79	56	231	69	95	250	40	14	81	91	52	25	146	90	126
ath-miR841a-3p	1	2	4	18	13	58	58	23	106	5	7	40	93	32	14	78	76	85
ath-miR841a-5p	3	2	0	2	2	22	4	3	2	0	0	13	12	2	3	6	7	12
ath-miR841b-3p	1	2	4	18	13	58	58	22	106	5	7	39	91	32	14	76	73	83
ath-miR841b-5p	7	2	0	27	10	104	40	49	55	53	32	111	366	22	32	209	273	313
ath-miR842	13	10	20	152	85	227	156	333	570	111	164	206	201	116	47	231	230	224
ath-miR843	0	0	1	0	1	6	3	1	3	0	2	3	1	3	0	4	1	1
ath-miR844-3p	1	0	0	7	2	7	6	21	31	2	1	14	30	9	3	18	26	38
ath-miR844-5p	0	0	0	0	0	0	0	0	1	0	0	1	2	1	0	1	1	3
ath-miR845a	2	0	3	12	7	33	27	25	28	11	2	43	21	17	24	29	17	36
ath-miR845b	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0
ath-miR846-3p	213	21	120	3233	531	8034	1243	7598	14689	826	350	6909	10673	3950	2351	5685	13191	19457
ath-miR846-5p	71	10	52	490	198	1913	467	1289	3765	387	120	1616	1524	1174	555	2053	2366	2848
ath-miR847	0	0	0	0	0	1	0	1	0	0	0	1	1	1	0	0	3	1
ath-miR848	1	1	0	11	7	15	11	19	30	9	4	12	16	6	0	23	17	19
ath-miR850	2	2	2	14	10	42	3	8	16	7	5	12	13	0	5	5	11	13
ath-miR851-5p	0	0	1	0	1	2	0	2	2	1	0	2	1	1	1	1	4	0
ath-miR852	0	0	0	11	6	7	5	24	11	13	5	14	21	3	1	15	11	15
ath-miR853	2	0	0	6	2	3	3	15	19	3	4	8	10	2	4	7	10	10
ath-miR855	0	1	1	0	0	1	1	0	2	0	0	1	0	0	0	1	1	2
ath-miR857	1	0	2	23	6	13	4	20	57	3	3	130	175	7	1	8	34	329
ath-miR858a	17	6	11	139	122	84	50	315	149	59	34	360	209	90	16	129	334	387
ath-miR858b	7	2	3	41	42	32	29	116	50	27	13	127	75	40	4	47	134	144
ath-miR859	1	0	0	1	0	0	1	9	7	1	0	9	5	1	0	2	10	15
ath-miR860	1	0	0	12	2	29	12	38	60	2	1	17	40	10	2	13	36	52
ath-miR861-3p	0	0	0	9	1	26	3	20	10	6	0	29	72	14	15	24	56	88
ath-miR862-3p	0	0	0	0	1	3	3	2	6	1	0	1	0	0	0	4	9	2
ath-miR862-5p	0	0	1	4	2	11	6	8	19	3	3	10	6	0	2	9	6	3
ath-miR863-3p	0	0	1	0	0	1	0	0	1	1	0	2	3	0	0	1	4	9
ath-miR863-5p	0	0	0	0	0	3	0	3	3	0	0	4	1	0	0	0	1	5
ath-miR864-3p	1	0	0	0	0	0	2	1	4	0	0	5	2	0	0	2	4	3
ath-miR864-5p	0	0	0	1	0	1	5	2	8	1	0	2	2	2	0	4	1	3
ath-miR865-3p	0	1	0	1	0	3	0	0	7	1	0	4	5	3	1	5	4	11
ath-miR865-5p	0	0	0	4	0	2	0	5	6	1	0	8	2	3	2	5	2	8
ath-miR866-3p	0	1	1	7	1	3	4	13	19	4	0	9	15	6	1	13	6	24
ath-miR866-5p	1	0	1	18	2	8	11	15	16	0	1	16	23	6	8	16	16	21
ath-miR867	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1
ath-miR868-5p	0	0	0	2	0	0	0	1	1	0	0	3	1	1	0	1	5	1
ath-miR869.1	0	0	0	5	2	3	2	3	8	0	0	0	5	2	1	12	4	5
ath-miR869.2	10	5	12	432	54	2415	251	1005	1492	150	37	678	1391	422	1015	1308	561	946
ath-miR870-3p	0	0	0	1	2	0	0	2	2	0	0	0	3	0	0	0	1	0
ath-miR870-5p	1	0	0	0	0	0	0	1	3	0	0	4	0	0	0	1	2	1
